Step,WaitingVehicles,QueueLength,AvgWaitTime,TotalVehicles,CumulativeThroughput,AvgSpeed,CurrentPhase
0,0,0,0,0,0,0,0
1,1,2,0.0,1,0,0.0,0
2,0,0,0.0,1,0,0.7820673250243999,0
3,0,0,0.0,1,0,1.6510870379861444,0
4,0,0,0.0,1,0,2.4922764110960998,0
5,0,0,0.0,1,0,3.964016609941609,0
6,1,2,0.0,2,0,2.5755011877045035,0
7,2,4,0.0,4,0,1.8771660441707354,0
8,0,0,0.0,4,0,2.8628907851380063,0
9,0,0,0.0,4,0,3.8469019810290774,0
10,0,0,0.0,4,0,4.728610253223451,0
11,0,0,0.0,4,0,5.7278965681180125,0
12,1,2,0.0,5,0,5.14460032793001,0
13,0,0,0.0,5,0,5.07180578384475,0
14,0,0,0.0,5,0,4.967331532490637,0
15,1,2,0.2,5,0,4.7810501598958774,0
16,2,4,0.3333333333333333,6,0,4.4588975569511815,0
17,1,2,0.5,6,0,5.170450590192122,0
18,1,2,0.6666666666666666,6,0,5.324531675627767,0
19,1,2,0.8333333333333334,6,0,5.244836812693484,0
20,2,4,0.8571428571428571,7,0,4.462522041469069,0
21,1,2,1.0,7,0,4.073285332463872,0
22,2,3,1.2857142857142858,7,0,3.780899520011339,0
23,3,5,1.375,8,0,3.361777013886154,0
24,3,5,1.75,8,0,3.7741178667635276,0
25,3,5,2.125,8,0,4.120126294102836,1
26,3,5,2.5,8,0,4.635778642602111,1
27,4,7,2.5555555555555554,9,0,4.528675132948847,1
28,3,5,2.888888888888889,9,0,4.595126124900783,1
29,3,5,3.2222222222222223,9,0,4.1923508398334555,2
30,2,4,2.875,8,1,2.853612097679529,2
31,4,8,2.888888888888889,9,1,2.3728147843790803,2
32,3,6,3.2222222222222223,9,1,2.6711490557471134,2
33,5,9,3.3,10,1,2.8353320482778708,2
34,4,7,3.7,10,1,3.3861132926283375,2
35,4,7,4.1,10,1,3.810857739826841,2
36,4,7,4.5,10,1,4.084124184106139,2
37,5,9,4.454545454545454,11,1,3.920689282327889,2
38,4,7,4.818181818181818,11,1,4.249646845180371,2
39,5,9,4.75,12,1,4.282820679635274,2
40,4,7,5.083333333333333,12,1,4.775473360954288,2
41,4,7,5.416666666666667,12,1,4.914370489065484,2
42,4,7,5.75,12,1,4.945945958155118,2
43,6,11,5.615384615384615,13,2,3.8671519141256607,2
44,4,7,5.923076923076923,13,2,4.23174263775517,2
45,5,9,6.833333333333333,12,3,3.436221766654546,2
46,6,11,6.6923076923076925,13,3,3.1121550684157766,2
47,6,11,6.571428571428571,14,3,2.982807112742863,2
48,6,11,7.538461538461538,13,4,2.3231840197390143,2
49,6,11,8.0,13,4,2.625391452930878,2
50,8,14,7.928571428571429,14,4,2.8183990215907073,2
51,7,12,8.428571428571429,14,4,3.1147302844628446,2
52,8,14,8.333333333333334,15,4,2.821571077886963,2
53,8,14,8.25,16,4,2.3314465574439542,2
54,9,15,8.235294117647058,17,4,1.9534256402355812,3
55,9,15,8.764705882352942,17,4,1.9146173094221912,3
56,10,17,9.352941176470589,17,4,2.0804055065071005,3
