Step,WaitingVehicles,QueueLength,AvgWaitTime,TotalVehicles,CumulativeThroughput,AvgSpeed,CurrentPhase
0,0,0,0,0,0,0,0
1,1,2,0.0,1,0,0.0,0
2,0,0,0.0,1,0,0.7947382635902613,0
3,1,2,0.0,2,0,1.1239302775938995,0
4,0,0,0.0,2,0,1.9952113212493714,0
5,0,0,0.0,2,0,2.8084833972970955,0
6,1,2,0.0,3,0,2.2608887335130325,0
7,1,2,0.0,4,0,2.2825206137873466,0
8,0,0,0.0,4,0,3.0132034596666926,0
9,0,0,0.0,4,0,3.8680480322538644,0
10,0,0,0.0,4,0,4.508694681510678,0
11,0,0,0.0,4,0,5.268413960526232,0
12,1,2,0.0,5,0,4.14278734041617,0
13,2,4,0.0,7,0,2.736801743276263,0
14,0,0,0.0,7,0,2.641097222418303,0
15,0,0,0.0,7,0,2.94891440661196,0
16,0,0,0.0,7,0,3.4621859269897794,0
17,2,4,0.125,8,0,3.4654091312490807,0
18,1,2,0.25,8,0,4.024186068969988,0
19,2,4,0.3333333333333333,9,0,4.1483216931512885,0
20,1,2,0.4444444444444444,9,0,4.675586729419734,0
21,1,2,0.5555555555555556,9,0,4.757734945498339,0
22,1,2,0.6666666666666666,9,0,4.690036412898745,1
23,2,4,0.7,10,0,3.885679036590086,1
24,3,6,0.8181818181818182,11,0,3.612060615258716,1
25,3,5,1.0909090909090908,11,0,4.1112374683806685,1
26,3,5,1.3636363636363635,11,0,4.576378509644353,2
27,2,4,1.3636363636363635,11,0,4.937831476531264,2
28,3,6,1.4166666666666667,12,0,4.184945660129807,2
29,2,4,1.5833333333333333,12,0,3.954009749841949,2
30,4,6,1.9166666666666667,12,0,4.091951019328531,2
31,5,8,2.076923076923077,13,0,3.7842325161608743,2
32,4,6,2.5833333333333335,12,1,3.035307112572305,2
33,6,10,2.769230769230769,13,1,3.113132055928936,2
34,5,8,3.1538461538461537,13,1,3.438188545270658,2
35,6,10,3.2857142857142856,14,1,3.4534669872288255,2
36,5,8,3.642857142857143,14,1,3.6169231501879833,2
37,5,8,4.3076923076923075,13,2,2.7416993786728985,2
38,7,12,4.066666666666666,15,2,2.435136112503417,2
39,7,12,4.1875,16,2,2.303319980023902,2
40,6,10,4.5625,16,2,2.368045549543005,2
41,6,10,4.9375,16,2,2.323816323039449,2
42,8,13,5.0588235294117645,17,2,2.3109298149748723,2
43,7,11,5.470588235294118,17,2,2.3781894799982872,2
44,8,12,5.9411764705882355,17,2,2.368068797882593,2
45,9,14,6.055555555555555,18,2,2.0722366701035764,2
46,9,13,6.555555555555555,18,2,2.132582143235777,2
47,10,15,7.111111111111111,18,2,2.4107902481201617,2
48,10,15,7.666666666666667,18,2,2.6265168049989067,3
49,10,15,8.222222222222221,18,2,2.837000161163011,3
50,11,17,8.777777777777779,18,3,2.6006144555336372,3
51,12,19,8.4,20,3,2.4358660059210595,3
52,10,15,9.368421052631579,19,4,2.006743457239167,4
53,8,11,6.842105263157895,19,4,1.7125470201257176,4
54,9,13,5.4,20,4,1.3934944018388418,4
55,7,9,4.95,20,4,1.5245333611654415,4
