Step,WaitingVehicles,QueueLength,AvgWaitTime,TotalVehicles,CumulativeThroughput,AvgSpeed
0,0,0,0,0,0,0
1,1,2,0.0,1,0,0.0
2,0,0,0.0,1,0,1.1624873877153732
3,1,2,0.0,2,0,1.1070859164465219
4,0,0,0.0,2,0,1.8807941356324591
5,0,0,0.0,2,0,2.829152810323285
6,0,0,0.0,2,0,3.6885735776042567
7,1,2,0.0,3,0,3.107929126561309
8,0,0,0.0,3,0,3.915097184153274
9,0,0,0.0,3,0,4.659839395305608
10,0,0,0.0,3,0,5.367484866792801
11,0,0,0.0,3,0,6.187501864274964
12,0,0,0.0,3,0,5.698575156536574
13,0,0,0.0,3,0,4.8892034839096015
14,0,0,0.0,3,0,4.060831147136866
15,0,0,0.0,3,0,3.4872126935893006
16,3,5,0.2,5,0,2.2453020777041193
17,2,3,0.3333333333333333,6,0,2.1978041270999573
18,1,1,0.5,6,0,2.2701637669698367
19,2,3,0.5714285714285714,7,0,1.7296068728026002
20,1,1,0.7142857142857143,7,0,1.5712026548843965
21,2,2,1.0,7,0,1.827114041100812
22,2,2,1.2857142857142858,7,0,2.2264959793084174
23,3,4,1.375,8,0,2.285057742510398
24,2,2,1.625,8,0,2.7446178000427928
25,2,2,1.875,8,0,3.202630004112143
26,3,4,1.8888888888888888,9,0,3.257022975661999
27,2,2,2.111111111111111,9,0,3.753275037969514
28,2,2,2.3333333333333335,9,0,4.255563721130603
29,3,4,2.3,10,0,4.261766027170234
30,2,2,2.5,10,0,4.823190378291765
31,2,2,2.7,10,0,4.9124884482245905
32,3,4,2.6363636363636362,11,0,4.177884872590531
33,2,2,2.8181818181818183,11,0,3.929616871020059
34,4,4,3.1818181818181817,11,0,3.9059596010639765
35,4,5,1.5833333333333333,12,0,3.5964379004009612
36,2,2,1.5833333333333333,12,0,3.743755119460809
37,3,4,1.6153846153846154,13,0,3.7286536936508634
38,3,3,1.8461538461538463,13,0,3.929085749917005
39,3,3,2.076923076923077,13,0,3.90396039608053
40,4,5,2.5833333333333335,12,1,3.2978938950589067
41,5,7,2.6923076923076925,13,1,3.06530137433996
42,6,8,2.857142857142857,14,1,2.8934237905902522
43,5,6,3.2142857142857144,14,1,3.234097412532428
44,6,7,3.642857142857143,14,1,3.676160985252584
45,7,9,3.8,15,1,3.716295111872213
46,6,7,4.5,14,2,3.562411342092553
47,6,7,4.928571428571429,14,2,3.892357202489773
