Episode,TotalReward,AvgWaitingTime,AvgQueueLength,Throughput,Epsilon
1,-4165.500000000003,2.7134403044173436,17.484,237,0.995
2,-8197.5,4.962854340606678,29.078,232,0.990025
3,-6760.600000000004,4.406328387471528,25.966,239,0.985074875
4,-9004.5,5.753417076167357,27.304,242,0.9801495006250001
5,-9941.300000000007,6.378030667609069,28.966,245,0.9752487531218751
6,-8318.0,4.673062175429752,28.498,240,0.9703725093562657
7,-6059.600000000004,3.511966080643333,24.176,245,0.9655206468094844
8,-5380.200000000002,2.885933477284196,22.822,252,0.960693043575437
9,-8627.600000000004,5.207344614296536,29.554,230,0.9558895783575597
10,-7211.799999999999,4.1999026992734505,26.29,233,0.9511101304657719
11,-6760.499999999998,4.0788961118699945,26.798,234,0.946354579813443
12,-4320.300000000003,3.093621653275878,18.098,234,0.9416228069143757
13,-6194.4000000000015,4.130633748147587,24.116,235,0.9369146928798039
14,-7554.500000000002,4.7534243610427955,26.024,230,0.9322301194154049
15,-8699.200000000004,5.049904434554726,30.448,244,0.9275689688183278
16,-6017.899999999998,4.046244316776809,23.988,240,0.9229311239742362
17,-6729.899999999996,4.21700809269811,26.624,242,0.918316468354365
18,-10235.999999999998,6.501018212793841,29.466,232,0.9137248860125932
19,-5722.200000000001,4.491943566137468,22.286,233,0.9091562615825302
20,-9858.800000000003,5.894336247907811,31.252,237,0.9046104802746175
21,-7829.899999999995,4.2330377627007465,27.34,254,0.9000874278732445
22,-10221.199999999988,6.255332718563583,30.042,228,0.8955869907338783
23,-8600.700000000004,5.606206180109768,29.22,209,0.8911090557802088
24,-11032.800000000001,6.896376604095146,27.902,232,0.8866535105013078
25,-11384.799999999994,6.103798548894127,37.322,235,0.8822202429488013
26,-6358.000000000004,3.7125126604149505,26.232,247,0.8778091417340573
27,-5894.000000000001,4.054836426762142,23.546,224,0.8734200960253871
28,-6182.800000000001,3.817859091713988,24.066,240,0.8690529955452602
29,-8417.7,5.992485184722489,28.004,257,0.8647077305675338
30,-4070.000000000003,2.880761434104519,16.632,242,0.8603841919146962
31,-6225.099999999999,3.913188412014514,23.402,250,0.8560822709551227
32,-8863.499999999993,4.631955630237361,28.658,250,0.851801859600347
33,-8364.1,4.673435866556239,27.086,247,0.8475428503023453
34,-8847.900000000009,5.5392364651144375,31.726,248,0.8433051360508336
35,-6796.499999999995,4.817655861157896,24.326,245,0.8390886103705794
36,-7032.000000000002,4.475062729766657,24.692,247,0.8348931673187264
37,-8520.100000000004,5.4959497978368255,27.882,233,0.8307187014821328
38,-4401.2000000000035,2.8360837912574155,19.148,253,0.8265651079747222
39,-7189.599999999995,4.59138314438784,26.524,261,0.8224322824348486
40,-6912.000000000002,4.761353333470828,22.942,247,0.8183201210226743
41,-7162.000000000005,4.06014755279334,28.05,237,0.8142285204175609
42,-8505.100000000011,4.7918317765569345,28.47,260,0.810157377815473
43,-4501.199999999994,3.2944397933713625,18.148,234,0.8061065909263957
44,-8970.699999999995,5.171260835546635,27.816,253,0.8020760579717637
45,-4955.600000000002,3.0377163042407864,21.244,244,0.798065677681905
46,-115760.49999999999,73.96073816144438,60.806,97,0.7940753492934954
47,-7367.0,5.433647596489693,26.724,243,0.7901049725470279
48,-9996.100000000008,6.060912486398921,34.548,229,0.7861544476842928
49,-9084.000000000004,6.280522062679125,28.154,231,0.7822236754458713
50,-9596.600000000004,5.616822514514799,30.95,259,0.778312557068642
51,-5237.0,3.7770884968082963,20.628,245,0.7744209942832988
52,-18528.700000000004,9.935359325890833,40.428,239,0.7705488893118823
53,-14412.600000000004,8.835758124789182,31.712,234,0.7666961448653229
54,-8651.300000000003,5.097571819490902,30.554,243,0.7628626641409962
55,-14625.600000000002,8.663970485547509,33.256,241,0.7590483508202912
56,-9860.300000000012,6.436027877667775,29.282,234,0.7552531090661897
57,-7994.599999999997,4.6704514582668155,29.132,252,0.7514768435208588
58,-9821.80000000001,5.052929715306449,37.21,248,0.7477194593032545
59,-9113.199999999997,7.105953362748511,28.806,241,0.7439808620067382
60,-9846.099999999995,6.2748113350420285,30.822,236,0.7402609576967045
61,-2994.999999999999,2.5638550653920844,13.642,228,0.736559652908221
62,-12746.4,6.855118364474404,38.876,224,0.7328768546436799
63,-15480.100000000013,8.769292861512938,41.792,236,0.7292124703704616
64,-15734.300000000001,9.199819060090872,40.55,232,0.7255664080186093
65,-8661.299999999994,5.668923187301643,30.81,245,0.7219385759785162
66,-16904.499999999996,8.95695370308039,40.642,237,0.7183288830986236
67,-8787.099999999999,6.233987215916049,25.874,235,0.7147372386831305
