step,waiting_vehicles,avg_speed,queue_length,throughput
0,1,12.50,1,0
1,1,11.19,1,0
2,1,9.97,1,0
3,1,8.79,1,0
4,1,7.70,1,0
5,1,6.66,1,0
6,0,7.09,0,0
7,1,7.07,1,0
8,1,7.26,1,0
9,1,7.58,1,0
10,1,8.65,1,0
11,0,9.05,0,0
12,0,9.44,0,0
13,1,9.62,1,0
14,1,8.72,1,0
15,0,8.95,0,0
16,1,8.80,1,0
17,2,8.47,2,0
18,2,8.60,2,0
19,3,8.46,3,0
20,2,8.14,2,0
21,2,8.15,2,0
22,5,7.81,5,0
23,6,7.76,6,0
24,5,6.19,5,0
25,5,5.93,5,0
26,6,5.01,6,0
27,8,4.03,8,1
28,8,4.24,8,0
29,8,4.03,8,1
30,6,4.19,6,0
31,8,4.44,8,1
32,9,4.36,9,0
33,8,5.39,8,0
34,9,4.06,9,1
35,10,5.46,10,0
36,9,5.79,9,0
37,11,4.74,11,0
38,11,4.52,11,0
39,12,4.46,12,0
40,14,4.78,14,0
41,13,4.94,13,0
42,14,4.78,14,0
43,15,4.35,15,0
44,18,4.57,18,0
45,16,4.68,16,0
46,17,4.98,17,2
47,18,5.54,18,0
48,20,5.63,20,1
49,20,5.40,20,0
50,16,5.31,16,0
51,16,5.43,16,0
52,14,5.54,14,0
53,13,5.57,13,1
54,15,5.36,15,0
55,12,4.74,12,1
56,11,5.14,11,1
57,12,5.33,12,0
58,15,5.16,15,0
59,13,4.88,13,0
60,14,4.73,14,0
61,16,4.38,16,0
62,17,4.38,17,0
63,19,4.23,19,0
64,17,4.33,17,0
65,19,4.31,19,1
66,19,4.05,19,1
67,21,4.15,21,0
68,22,4.26,22,1
69,21,4.46,21,2
70,24,4.49,24,0
71,24,4.52,24,3
72,24,2.32,24,0
73,23,2.30,23,0
74,26,2.25,26,1
75,25,2.55,25,2
76,26,2.71,26,1
77,27,2.85,27,0
78,27,3.02,27,0
79,27,3.36,27,1
80,25,2.85,25,0
81,24,2.47,24,1
82,22,2.10,22,1
83,24,1.55,24,0
84,23,1.56,23,0
85,26,1.65,26,2
86,27,1.74,27,0
87,26,1.69,26,0
88,25,2.55,25,0
89,29,2.43,29,0
90,30,2.46,30,0
91,31,2.58,31,0
92,30,2.61,30,0
93,31,2.76,31,0
94,32,2.82,32,0
95,32,3.04,32,0
96,33,3.09,33,1
97,32,3.05,32,1
98,36,3.05,36,1
99,34,3.27,34,1
100,30,3.52,30,1
101,27,3.46,27,1
102,22,3.06,22,0
103,24,1.31,24,1
104,19,1.40,19,0
105,18,1.54,18,1
106,17,1.72,17,0
107,20,1.91,20,1
108,19,3.10,19,0
109,17,3.34,17,1
110,16,3.60,16,0
111,15,3.86,15,0
112,16,4.13,16,0
113,16,3.81,16,0
114,15,3.41,15,0
115,16,3.82,16,0
116,17,3.79,17,4
117,21,3.71,21,2
118,20,3.70,20,1
119,21,2.49,21,2
120,20,3.18,20,3
121,21,3.40,21,1
122,21,3.61,21,2
123,22,3.89,22,2
124,22,3.89,22,1
125,22,4.01,22,1
126,22,4.07,22,0
127,23,4.18,23,1
128,24,3.93,24,1
129,24,3.92,24,1
130,21,4.07,21,2
131,20,2.80,20,1
132,19,2.90,19,1
133,20,2.86,20,0
134,19,2.92,19,1
135,20,2.91,20,0
136,21,3.21,21,0
137,21,3.72,21,2
138,21,3.58,21,0
139,21,3.31,21,1
140,22,3.02,22,0
141,23,3.21,23,0
142,23,3.37,23,0
143,23,3.02,23,0
144,23,2.46,23,0
145,23,2.61,23,0
146,24,2.70,24,1
147,24,2.73,24,1
148,24,2.62,24,1
149,24,2.80,24,1
150,22,2.81,22,0
151,21,2.80,21,2
152,19,2.83,19,0
153,17,2.88,17,1
154,15,2.97,15,0
155,14,3.03,14,0
156,13,3.09,13,0
157,13,3.20,13,0
158,12,3.22,12,1
159,11,3.36,11,0
160,11,3.43,11,0
161,10,3.52,10,0
162,9,3.67,9,0
163,9,3.77,9,0
164,9,4.59,9,0
165,9,4.62,9,1
166,9,4.69,9,1
167,9,4.76,9,1
168,9,4.77,9,1
169,9,4.85,9,1
170,9,4.88,9,0
171,9,4.89,9,2
172,9,4.87,9,0
173,9,4.85,9,2
174,9,4.79,9,0
175,9,4.76,9,1
176,9,4.81,9,1
177,9,5.56,9,1
178,9,5.56,9,0
179,9,5.56,9,0
180,7,5.74,7,0
181,7,8.33,7,1
182,7,8.33,7,0
183,7,8.33,7,1
184,7,8.33,7,0
185,7,8.33,7,0
186,7,8.33,7,1
187,7,8.33,7,1
188,7,8.33,7,0
189,7,8.33,7,0
190,7,8.33,7,0
191,7,8.33,7,0
192,7,8.33,7,0
193,7,8.33,7,0
194,7,8.33,7,0
195,7,8.33,7,0
196,7,8.33,7,2
197,7,8.33,7,0
198,7,8.33,7,0
199,7,8.33,7,0
200,3,8.56,3,0
201,0,9.94,0,0
202,0,10.13,0,0
203,0,10.32,0,0
204,0,10.54,0,0
205,0,13.89,0,0
206,0,13.89,0,0
207,0,13.89,0,0
208,0,13.89,0,0
209,0,13.89,0,0
210,0,13.89,0,0
211,0,13.89,0,0
212,0,13.89,0,0
213,0,13.89,0,0
214,0,13.89,0,0
215,0,13.89,0,1
216,0,13.89,0,2
217,0,13.89,0,1
218,0,13.89,0,3
