Episode,TotalReward,AvgWaitingTime,AvgQueueLength,Throughput
1,-892.5,489.686,49.704,229
2,-911.5,330.222,33.124,246
3,-881.5,438.89,44.45,230
4,-820.0,395.764,40.78,242
5,-2250.5,561.0,43.524,232
6,-1853.5,550.518,50.122,233
7,-804.0,437.408,44.942,248
8,-956.0,428.152,41.182,217
9,-1289.0,517.948,49.672,231
10,-1072.5,350.292,35.032,236
11,-1073.5,360.796,36.136,254
12,-278.5,255.73,29.648,244
13,-1148.0,383.274,39.136,228
14,-1197.0,484.14,45.816,237
15,-2083.5,550.26,46.944,245
16,-1148.5,486.13,45.596,244
17,-2927.0,772.138,43.744,240
18,-299.5,242.666,31.306,266
19,-231.0,304.494,37.364,243
20,-2443.5,590.968,46.668,243
21,-849.5,435.416,44.446,247
22,-927.5,368.468,35.784,249
23,-4196.0,795.026,50.092,221
24,99.0,232.452,33.546,247
25,-211.5,285.294,34.178,237
26,25.5,204.332,29.596,254
27,-1059.5,442.572,39.23,233
28,-375.5,295.874,36.716,246
29,-1133.0,390.474,39.84,245
30,-1457.0,457.358,43.628,251
31,-589.0,362.476,40.076,244
32,-4094.0,863.306,53.774,235
33,-381.0,285.016,31.13,236
34,28.5,173.58,26.294,245
35,-1941.0,511.27,44.306,227
36,-1163.5,457.064,43.29,232
37,-3368.0,770.218,47.688,236
38,-724.5,328.996,37.296,257
39,-32627.5,10302.192,85.264,93
40,-2586.0,641.884,48.31,229
41,-2382.5,634.886,44.25,214
42,-2154.5,591.488,45.862,259
43,-2188.0,591.08,45.11,257
44,-383.0,353.068,40.02,232
45,-1533.5,507.572,44.028,244
46,-4065.5,916.3,44.89,238
47,-1560.5,477.65,43.764,210
48,-726.0,378.88,41.356,210
49,-2385.0,508.216,40.01,227
50,-2043.0,501.05,42.61,204
51,-4678.5,987.768,57.246,221
52,-2649.0,597.164,39.956,252
53,-2353.0,628.752,48.75,250
54,-2557.5,720.856,57.402,237
55,-1178.5,436.562,41.882,241
56,-2337.0,523.196,41.372,222
57,-690.0,327.086,37.948,249
58,-1186.5,411.08,38.506,230
59,-881.5,400.18,40.832,244
60,-511.0,275.39,30.876,210
61,-1122.0,353.866,36.524,245
62,-453.5,318.868,37.634,231
63,-820.0,388.224,40.672,241
64,-566.5,357.61,36.02,242
65,-1232.5,397.966,37.022,232
66,-1304.0,384.308,36.04,223
67,-417.5,264.594,30.242,217
68,-953.5,371.428,37.746,241
69,-796.5,259.704,26.672,233
70,-1108.0,355.02,32.896,226
71,-461.0,245.694,28.522,234
72,-1069.0,376.716,38.032,240
73,-1605.0,425.336,35.738,236
74,-2923.0,637.66,41.578,209
75,-422.0,339.604,37.536,249
76,-302.0,292.436,34.118,241
77,-321.0,272.784,32.954,206
78,-963.5,439.028,45.184,237
79,-1391.5,447.148,39.06,242
80,-589.0,448.584,47.766,230
81,-872.5,327.432,35.886,208
82,-4010.5,976.9,54.562,210
83,-2320.0,478.66,35.534,222
84,-1059.0,360.654,38.834,213
85,-678.0,361.078,42.698,224
86,-1387.5,528.986,49.634,229
87,-1116.0,370.69,35.982,230
88,-396.5,275.694,32.38,230
89,-281.5,187.172,23.794,246
90,45.0,253.004,30.23,219
91,-1080.5,359.69,33.216,234
92,-215.0,251.736,31.494,221
93,-1201.0,398.036,34.86,222
94,-3066.0,643.578,42.054,236
95,-165.0,225.896,27.67,225
96,9.0,285.812,37.348,230
97,51.0,262.034,33.23,225
98,-28.0,207.584,26.77,219
99,-363.0,261.612,30.254,221
100,-476.0,354.878,37.87,227
101,-857.0,411.248,38.346,215
102,-1204.5,324.356,29.75,218
103,-253.0,214.322,28.508,211
104,-478.5,376.386,38.538,226
105,-509.5,390.964,40.95,244
