Episode,TotalReward,Throughput,AvgWaitTime,AvgQueueLength,ThroughputReward,EfficiencyReward,WaitPenalty,BalancePenalty,PolicyLoss,Entropy,AvgPhaseDuration
1,-1861.902177894603,237,18.000755171254134,2.2325581395348837,0,0,0,0,0.0,0.0,14.372093023255815
2,-1173.5951179992967,268,17.43540098009869,2.8465045592705165,0,0,0,0,0.0,0.0,12.872340425531915
3,-888.0134861918148,273,18.100920912305774,2.6850649350649354,0,0,0,0,0.0,0.0,14.090909090909092
4,-529.0286663857032,268,14.752861110631082,1.948757763975155,0,0,0,0,0.0,0.0,13.08695652173913
5,-1014.4107584530493,256,16.57183528922847,2.6322188449848025,0,0,0,0,0.0,0.0,12.574468085106384
6,739.882060274979,276,17.358125168359496,3.1164596273291925,0,0,0,0,0.0,0.0,13.282608695652174
7,604.0346766932909,259,18.17439197236668,2.442176870748299,0,0,0,0,0.0,0.0,14.69047619047619
8,1894.355692877925,280,15.163674233463126,1.9523809523809526,0,0,0,0,0.0,0.0,12.416666666666666
9,482.57758513849456,242,17.4105253619247,2.1444805194805197,0,0,0,0,0.0,0.0,14.0
10,1112.7599606321592,271,18.899228549703434,2.4200680272108843,0,0,0,0,0.0,0.0,14.523809523809524
11,1458.8452921350595,281,17.649266782864256,2.8619047619047624,0,0,0,0,0.0,0.0,13.6
12,1882.578470805056,295,15.420927490096465,2.0111111111111115,0,0,0,0,0.0,0.0,13.622222222222222
13,178.35632830334416,247,17.928749187126062,2.6972049689441,0,0,0,0,0.0,0.0,13.021739130434783
14,619.9192898586476,251,18.17909765696976,2.347826086956522,0,0,0,0,0.0,0.0,13.304347826086957
15,983.4941916185014,253,17.264848095351283,2.623809523809524,0,0,0,0,0.0,0.0,13.4
16,508.7358160464642,241,16.785687271080512,2.095238095238095,0,0,0,0,0.0,0.0,13.488888888888889
17,669.7154212413228,254,18.56935990397445,2.5282392026578075,0,0,0,0,0.0,0.0,14.30232558139535
18,843.7441773658653,251,16.557821865778664,2.287234042553192,0,0,0,0,0.0,0.0,13.0
19,858.6111107506642,260,16.25846537057269,2.5306122448979593,0,0,0,0,0.0,0.0,12.285714285714286
20,1802.3445004786872,294,17.13428910457867,2.0564784053156147,0,0,0,0,0.0,0.0,14.534883720930232
21,587.6849878900595,262,17.667946817372147,2.7546583850931676,0,0,0,0,0.0,0.0,13.26086956521739
