step,waiting_vehicles,avg_speed,queue_length,throughput,phase_index,phase_name
0,1,12.50,1,0,0,East-West Straight+Right
1,0,12.60,0,0,0,East-West Straight+Right
2,1,11.29,1,0,0,East-West Straight+Right
3,0,11.41,0,0,0,East-West Straight+Right
4,0,11.50,0,0,0,East-West Straight+Right
5,0,11.64,0,0,0,East-West Straight+Right
6,1,10.35,1,0,0,East-West Straight+Right
7,1,9.14,1,0,0,East-West Straight+Right
8,0,10.42,0,0,0,East-West Straight+Right
9,0,10.65,0,0,0,East-West Straight+Right
10,1,9.46,1,0,0,East-West Straight+Right
11,1,8.36,1,0,0,East-West Straight+Right
12,0,8.74,0,0,0,East-West Straight+Right
13,0,9.06,0,0,0,East-West Straight+Right
14,0,9.22,0,0,0,East-West Straight+Right
15,1,7.86,1,0,0,East-West Straight+Right
16,0,8.12,0,0,0,East-West Straight+Right
17,1,8.48,1,0,0,East-West Straight+Right
18,2,8.78,2,0,0,East-West Straight+Right
19,1,9.26,1,0,0,East-West Straight+Right
20,1,8.46,1,0,0,East-West Straight+Right
21,1,8.73,1,0,0,East-West Straight+Right
22,1,9.60,1,0,0,East-West Straight+Right
23,2,9.16,2,0,0,East-West Straight+Right
24,2,9.05,2,0,0,East-West Straight+Right
25,2,9.04,2,0,0,East-West Straight+Right
26,4,9.02,4,0,0,East-West Straight+Right
27,4,7.51,4,1,0,East-West Straight+Right
28,5,6.95,5,0,0,East-West Straight+Right
29,5,6.73,5,0,0,East-West Straight+Right
30,5,6.87,5,0,1,East-West Yellow
31,6,6.97,6,0,1,East-West Yellow
32,6,6.74,6,0,1,East-West Yellow
33,5,6.57,5,0,1,East-West Yellow
34,6,6.60,6,0,1,East-West Yellow
35,5,6.84,5,0,2,East-West Left
36,3,6.97,3,0,2,East-West Left
37,4,7.14,4,0,2,East-West Left
38,3,7.04,3,0,2,East-West Left
39,4,6.93,4,0,2,East-West Left
40,4,6.36,4,0,2,East-West Left
41,4,7.81,4,0,2,East-West Left
42,4,8.86,4,0,2,East-West Left
43,4,8.50,4,0,2,East-West Left
44,5,7.84,5,0,2,East-West Left
45,4,7.60,4,0,2,East-West Left
46,8,6.27,8,0,2,East-West Left
47,6,6.51,6,0,2,East-West Left
48,6,6.61,6,0,2,East-West Left
49,7,6.54,7,0,2,East-West Left
50,8,6.62,8,0,2,East-West Left
51,7,6.67,7,1,2,East-West Left
52,7,6.62,7,1,2,East-West Left
53,9,6.52,9,0,2,East-West Left
54,9,6.53,9,1,2,East-West Left
55,9,6.76,9,0,2,East-West Left
56,9,6.95,9,0,2,East-West Left
57,9,7.10,9,0,2,East-West Left
58,9,7.15,9,0,2,East-West Left
59,11,7.08,11,0,2,East-West Left
60,10,7.14,10,1,2,East-West Left
61,10,6.99,10,0,2,East-West Left
62,11,6.61,11,0,2,East-West Left
63,11,6.42,11,0,2,East-West Left
64,13,6.22,13,0,2,East-West Left
65,14,6.28,14,0,3,East-West Left Yellow
66,14,6.36,14,0,3,East-West Left Yellow
67,14,6.35,14,0,3,East-West Left Yellow
68,14,6.22,14,0,3,East-West Left Yellow
