Episode,TotalReward,Throughput,AvgWaitTime,AvgQueueLength
1,-9818.0,290,23.901049175099224,2.107142857142857
2,-9393.0,289,22.44549998414761,2.1023809523809525
3,-8387.0,292,20.946727761594893,1.9419642857142858
4,-8354.0,312,20.408118969094833,2.1113445378151265
5,-6740.0,300,16.878360253617426,1.7509652509652511
6,-7003.0,299,17.698447977730837,1.8185328185328187
7,-10431.0,301,18.550721396684022,2.216165413533835
8,-11342.0,295,14.427368105157276,2.349702380952381
9,-14377.0,264,15.807976209928798,2.5851063829787235
10,-13355.0,242,12.686568514489295,2.5
11,-12861.0,236,13.318191974341433,2.3220551378446115
12,-12442.0,239,10.847013648777263,2.3333333333333335
13,-13472.0,256,10.80235561515914,2.475510204081632
14,-13586.0,238,9.702119607099315,2.664473684210526
15,-15400.0,221,9.322772068275468,2.8606701940035273
16,-13096.0,218,9.429643749494407,2.44375
17,-16016.0,233,8.881899357151843,2.979965156794425
18,-18207.0,236,8.819570840076729,3.237541528239203
19,-14557.0,249,8.634463747730416,2.746598639455782
20,-11468.0,230,8.966651285710611,2.2282229965156795
21,-16195.0,235,8.755135435782474,2.9722689075630253
22,-20496.0,248,8.513818720830631,3.6245847176079735
23,-15949.0,225,8.64709007251852,2.967297762478485
24,-19545.0,233,8.688625387464448,3.5201680672268916
25,-16400.0,238,8.246568803556682,3.03156146179402
26,-18039.0,240,8.887270053025787,3.182823129251701
27,-19635.0,251,8.75709013502678,3.4950166112956804
28,-20256.0,226,8.580751238662284,3.5274086378737537
29,-19625.0,229,8.617505206907323,3.447674418604651
30,-18680.0,239,8.700014427708542,3.3292282430213476
31,-17120.0,221,8.858756052544342,3.04734219269103
32,-17509.0,229,8.661181996453557,3.113300492610837
33,-17757.0,190,9.014340271047208,3.080459770114942
34,-18485.0,224,8.65947544965044,3.2209302325581395
35,-16336.0,241,8.409780923437387,2.9835796387520523
36,-18207.0,221,8.492777094269412,3.2308970099667764
37,-18311.0,234,8.526905983878663,3.189655172413793
38,-16281.0,245,8.084034502666569,3.0075630252100836
39,-19685.0,226,8.75417328078824,3.3949096880131373
40,-14827.0,224,8.560151319356022,2.7200328407224963
41,-19485.0,246,8.6951518864592,3.442528735632184
42,-17013.0,244,8.588712139706223,3.0385878489326763
43,-16212.0,221,8.353467259198581,2.9384236453201966
44,-16987.0,217,8.832588137490967,3.0032840722495893
45,-16559.0,246,8.353568307363938,2.951559934318555
46,-16580.0,226,8.639330182733623,2.9916943521594686
47,-19390.0,237,8.565830553867562,3.426108374384237
48,-15537.0,204,8.602214748447391,2.7200328407224963
49,-18932.0,252,8.49748029534502,3.353858784893267
50,-17863.0,218,8.548449827581857,3.135467980295567
51,-19428.0,236,8.71505783124534,3.4244663382594425
52,-17813.0,232,8.549160644406266,3.200996677740863
53,-19850.0,249,8.45015998102949,3.4802955665024635
54,-17087.0,220,8.727579775279455,3.0246305418719213
55,-17381.0,199,8.530219187942217,3.001642036124794
56,-19469.0,243,8.542396566038054,3.36535303776683
57,-14909.0,237,7.923712195041974,2.7840531561461797
58,-15375.0,220,8.459982298998561,2.7684729064039404
59,-17175.0,240,8.46873928019897,3.0533661740558293
60,-16815.0,233,8.649525221930174,2.9614121510673233
61,-16994.0,227,8.438155682374147,3.0057471264367814
62,-19785.0,229,8.740372461066368,3.413793103448276
