Episode,TotalReward,AvgWaitingTime,AvgQueueLength,Throughput,Epsilon
1,-14088.09999999999,8.207750178501248,37.636,210,0.995
2,-14450.099999999997,8.510770759238746,39.508,210,0.990025
3,-10368.399999999998,5.919579121739497,32.008,237,0.985074875
4,-11822.700000000015,7.501955973832311,32.222,208,0.9801495006250001
5,-9987.699999999992,6.863632973784848,29.56,209,0.9752487531218751
6,-17472.300000000025,9.546438852764403,36.914,232,0.9703725093562657
7,-7391.200000000003,4.710289510276251,26.55,232,0.9655206468094844
8,-9186.7,5.259937895560173,34.152,219,0.960693043575437
9,-15922.200000000003,8.817231389983867,39.594,236,0.9558895783575597
10,-10796.400000000005,5.852205639312021,34.138,211,0.9511101304657719
11,-12423.20000000001,6.314854068979434,38.628,213,0.946354579813443
12,-13503.300000000001,7.135012476975358,40.954,194,0.9416228069143757
13,-9338.9,5.058530616021058,32.854,245,0.9369146928798039
14,-12694.49999999999,7.658036890930298,36.244,220,0.9322301194154049
15,-10553.100000000002,5.929003189240373,33.85,238,0.9275689688183278
16,-11706.799999999996,6.42417059239752,35.286,238,0.9229311239742362
17,-11625.600000000008,6.539842223719401,37.72,235,0.918316468354365
18,-12799.000000000005,8.910089666693217,33.02,224,0.9137248860125932
19,-14040.100000000002,7.266921326621505,39.294,207,0.9091562615825302
20,-12325.200000000003,7.385598198099313,37.232,200,0.9046104802746175
21,-6875.700000000001,4.835302075184567,24.04,230,0.9000874278732445
22,-7811.399999999997,4.775298942378562,28.106,217,0.8955869907338783
23,-8024.100000000001,4.290924808925755,30.798,234,0.8911090557802088
24,-8104.099999999998,5.1158910369051585,28.938,221,0.8866535105013078
25,-10070.200000000003,6.0603605945117565,26.202,233,0.8822202429488013
26,-12812.300000000005,7.166292741947955,36.018,216,0.8778091417340573
27,-15098.99999999999,8.09358553731784,43.91,221,0.8734200960253871
28,-22098.699999999997,12.378436025614283,42.266,226,0.8690529955452602
29,-9727.499999999993,5.3821172131122275,34.714,225,0.8647077305675338
30,-13027.899999999989,6.75593197606171,39.588,223,0.8603841919146962
31,-10674.099999999993,6.605001030219253,37.806,211,0.8560822709551227
32,-9810.600000000006,5.551653085855525,33.182,222,0.851801859600347
33,-12088.800000000003,6.853892494710066,36.674,218,0.8475428503023453
34,-10128.799999999997,6.734057033376717,29.54,205,0.8433051360508336
35,-18206.199999999997,9.242392797690115,43.802,216,0.8390886103705794
36,-18973.19999999999,10.69817014329055,38.888,204,0.8348931673187264
37,-8438.700000000003,5.189219043327813,28.452,229,0.8307187014821328
38,-7989.400000000001,4.843345878758437,28.628,218,0.8265651079747222
39,-9759.500000000002,5.870223162384242,34.152,216,0.8224322824348486
40,-10230.900000000003,5.706942932755764,36.052,218,0.8183201210226743
41,-11356.200000000006,6.732247458663606,32.06,230,0.8142285204175609
42,-8493.999999999995,5.157256410523365,32.052,227,0.810157377815473
43,-10733.099999999997,5.859449963637873,38.022,226,0.8061065909263957
44,-25829.299999999985,13.07509490438311,43.554,211,0.8020760579717637
45,-9006.200000000003,6.046736974796578,27.054,209,0.798065677681905
46,-9708.100000000008,6.427136679199679,26.094,223,0.7940753492934954
47,-13335.700000000006,7.178064233934808,40.116,214,0.7901049725470279
48,-16323.099999999999,9.84522343436745,31.58,206,0.7861544476842928
49,-14604.1,8.29129081663385,36.096,232,0.7822236754458713
50,-8424.199999999999,5.033444971836394,31.258,224,0.778312557068642
51,-14524.200000000019,8.487152335884817,37.34,201,0.7744209942832988
52,-11780.900000000007,6.691999903286632,38.772,222,0.7705488893118823
53,-7171.499999999996,5.345036533172684,25.926,229,0.7666961448653229
54,-11329.500000000013,6.969005768834991,30.998,231,0.7628626641409962
55,-11841.999999999998,7.600088621940899,31.33,232,0.7590483508202912
56,-17886.699999999983,10.217800809796026,39.856,233,0.7552531090661897
57,-14817.999999999989,7.4355658848763495,39.796,219,0.7514768435208588
58,-12268.899999999996,7.079566472457774,38.888,188,0.7477194593032545
59,-15456.800000000003,9.235455390046507,36.774,222,0.7439808620067382
60,-9589.400000000009,7.055969757986898,27.098,194,0.7402609576967045
61,-10612.100000000006,6.0290969685699345,36.548,200,0.736559652908221
62,-10164.599999999991,6.4660294328449925,37.016,179,0.7328768546436799
63,-13515.200000000004,8.621278962023133,35.968,200,0.7292124703704616
64,-11295.599999999997,6.42744046040049,38.216,202,0.7255664080186093
65,-10397.999999999998,6.319108665148143,33.528,232,0.7219385759785162
66,-15105.000000000005,8.829248066674738,31.634,258,0.7183288830986236
67,-15004.0,8.53364056850037,38.328,181,0.7147372386831305
68,-15479.399999999992,8.225683875356381,40.42,198,0.7111635524897149
69,-18739.500000000007,10.862727536289192,36.92,230,0.7076077347272662
70,-10937.299999999992,5.970987581881531,35.024,231,0.7040696960536299
71,-12084.800000000012,7.001723924111973,35.262,232,0.7005493475733617
72,-5816.0,4.475535133370864,23.184,227,0.697046600835495
73,-24468.30000000002,13.517115016575673,36.118,192,0.6935613678313175
74,-8087.000000000004,5.222892001977571,30.068,216,0.6900935609921609
75,-13535.699999999988,7.252700091836159,38.006,221,0.6866430931872001
76,-11174.999999999989,7.068978600769329,34.724,220,0.6832098777212641
77,-11332.4,6.8300770043281736,38.82,240,0.6797938283326578
78,-11767.100000000004,7.721603050148324,30.394,211,0.6763948591909945
79,-9729.299999999997,5.713722902783794,35.534,213,0.6730128848950395
80,-16827.000000000004,10.293164593008067,35.712,213,0.6696478204705644
81,-20479.499999999985,10.1358433190607,47.73,220,0.6662995813682115
82,-17506.699999999997,8.609224044987743,44.814,184,0.6629680834613705
83,-13250.30000000001,9.14053193161348,31.422,210,0.6596532430440636
84,-19326.00000000001,9.986327051495488,43.782,212,0.6563549768288433
85,-13573.399999999987,7.78448779883175,39.148,196,0.653073201944699
86,-13138.0,8.724265603626252,36.002,209,0.6498078359349755
87,-12915.399999999994,8.583471905243288,32.584,259,0.6465587967553006
88,-12352.000000000013,8.050818860556848,34.682,239,0.6433260027715241
89,-11804.499999999995,7.398336884426477,37.548,176,0.6401093727576664
90,-21508.800000000014,13.423833605309692,33.938,234,0.6369088258938781
91,-12542.199999999997,7.841752584037713,37.6,204,0.6337242817644086
92,-17039.199999999997,10.604257511860013,36.678,219,0.6305556603555866
93,-18347.3,10.934132112699375,40.604,195,0.6274028820538087
94,-18453.199999999993,10.35563948158439,39.276,189,0.6242658676435396
95,-10879.799999999988,8.1325125883974,31.934,150,0.6211445383053219
96,-15976.200000000013,8.976820375906595,40.688,156,0.6180388156137953
97,-10158.700000000003,6.364803361755732,31.648,223,0.6149486215357263
98,-11881.799999999992,8.103067483174087,37.478,194,0.6118738784280476
99,-19557.70000000003,12.120608700859439,39.764,222,0.6088145090359074
100,-12645.6,7.800199842655846,37.614,203,0.6057704364907278
101,-24106.6,16.065516801476353,34.124,197,0.6027415843082742
102,-17487.3,10.040957392693832,40.836,231,0.5997278763867329
103,-11678.499999999993,6.829747557078693,38.494,196,0.5967292370047992
104,-9786.000000000004,6.224086621922152,35.834,192,0.5937455908197752
105,-21119.999999999993,11.659366353089126,39.592,235,0.5907768628656763
106,-14276.499999999989,6.953254430161421,46.106,175,0.5878229785513479
107,-12849.6,8.905358709152239,29.726,193,0.5848838636585911
108,-9787.20000000001,6.81501138018895,33.12,210,0.5819594443402982
109,-19644.9,12.13811581063542,37.582,206,0.5790496471185967
