Episode,TotalReward,AvgWaitingTime,AvgQueueLength,Throughput
1,-1603.0,449.05,46.964,239
2,-4150.0,534.41,42.734,232
3,-1352.0,349.608,36.61,232
4,175.0,290.142,38.968,257
5,-745.0,264.212,30.214,237
6,-5619.0,662.382,50.576,220
7,-9085.0,927.76,42.286,234
8,-2172.0,454.626,45.938,231
9,-2499.0,459.264,41.606,229
10,-946.0,317.366,35.12,262
11,-1339.0,374.252,38.72,242
12,-3379.0,470.324,41.896,222
13,-951.0,399.848,45.034,231
14,-5831.0,707.822,49.574,213
15,-1987.0,395.892,41.978,230
16,-2937.0,448.844,41.064,232
17,-3864.0,539.98,46.218,228
18,-2676.0,514.69,46.57,224
19,-1731.0,449.862,43.55,241
20,-2709.0,454.482,38.264,232
21,-5075.0,718.596,54.998,210
22,-3369.0,515.426,43.48,206
23,-7163.0,794.668,52.97,206
24,-3995.0,535.976,48.292,226
25,-2312.0,468.362,43.03,226
26,-346.0,349.032,44.096,227
27,-199.0,288.194,39.464,251
28,-9948.0,931.842,52.972,214
29,-8945.0,902.192,57.104,217
30,-3430.0,476.454,39.792,214
31,-4080.0,501.842,42.258,213
32,-2781.0,421.206,40.516,216
33,-2686.0,450.78,42.41,223
34,-8311.0,1048.84,43.352,217
35,429.0,254.304,39.402,215
36,-7622.0,904.152,48.394,200
37,-2399.0,472.654,43.864,211
38,-1533.0,425.374,46.518,214
39,-2804.0,481.56,44.252,184
40,-1250.0,428.974,46.318,213
41,-2829.0,503.292,48.408,207
42,-6995.0,770.574,53.736,189
43,-1912.0,453.128,42.968,220
44,-4607.0,621.456,54.718,205
45,-2318.0,475.658,47.978,203
46,-755.0,402.056,45.356,203
47,-1310.0,359.272,41.488,206
48,-834.0,422.838,50.888,213
49,-2042.0,531.482,55.206,185
50,-807.0,465.076,51.212,204
51,-5743.0,612.342,43.95,205
52,-7834.0,845.278,57.416,187
53,-3899.0,674.828,53.82,225
54,-8223.0,911.644,56.132,204
55,-1554.0,445.02,50.192,188
56,-1576.0,453.2,48.588,195
57,-2209.0,527.362,49.468,183
58,-6457.0,988.574,58.008,180
59,-1876.0,505.166,51.008,211
60,-2672.0,576.874,56.282,198
61,-5459.0,647.7,45.35,208
62,-2731.0,555.788,52.998,177
63,-145.0,432.122,52.952,193
64,-3589.0,612.782,55.412,213
65,-4802.0,683.52,57.012,207
66,-821.0,482.996,54.846,196
67,-1466.0,558.97,54.64,181
68,-2365.0,586.66,59.082,187
69,-3204.0,598.88,53.43,173
70,-4094.0,628.86,51.96,192
71,-8714.0,896.112,56.588,173
72,-2079.0,469.578,47.902,187
73,-1524.0,493.224,55.724,177
74,-4962.0,638.434,47.53,166
75,-7515.0,857.832,59.726,176
76,-4226.0,722.954,56.43,179
77,-4363.0,689.774,52.092,172
78,-1659.0,584.206,59.68,170
79,-6065.0,739.092,51.97,180
80,-6054.0,784.09,58.496,185
81,-5621.0,746.236,55.048,174
82,-7395.0,846.154,57.38,161
83,-3534.0,648.544,58.99,154
84,-2642.0,645.626,61.186,173
85,-2497.0,535.124,51.678,174
86,-2337.0,563.512,52.902,174
87,-7507.0,880.008,61.868,169
88,-4444.0,757.658,64.056,154
89,-8389.0,932.622,58.972,160
90,-2725.0,612.79,54.598,175
91,-1093.0,486.816,54.032,171
92,-2551.0,618.506,56.976,177
93,-10423.0,1067.17,62.62,164
94,-1122.0,616.492,59.444,152
95,-4133.0,783.542,68.368,148
96,-9853.0,999.166,62.038,163
97,-5942.0,799.562,62.444,173
