Episode,TotalReward,Throughput,AvgWaitTime,AvgQueueLength,ThroughputReward,EfficiencyReward,WaitPenalty,BalancePenalty,PolicyLoss,Entropy,AvgPhaseDuration
1,-1793.7,332,27.84270223877586,0,0,0,0,0,0.014906253665685654,0,25.665519878719792
2,-2035.7000000000003,341,24.448080850587054,0,0,0,0,0,-0.16658522188663483,0,20.58495705574751
3,-2357.3,313,28.103642098553053,0,0,0,0,0,-0.07695288211107254,0,25.398369693394862
4,-848.3999999999999,353,23.992386010727042,0,0,0,0,0,0.08146411180496216,0,22.96683239574368
5,-2517.4,332,26.642145326793663,0,0,0,0,0,-0.3562469482421875,0,21.53974911914422
6,-1620.4999999999995,360,26.158234291851826,0,0,0,0,0,-0.20379355549812317,0,23.643758590850567
7,-1099.7000000000003,338,21.97987137725444,0,0,0,0,0,-0.15241719782352448,0,18.980194714873335
8,-1612.6000000000001,318,27.15405826519291,0,0,0,0,0,-0.06887714564800262,0,24.76083794236183
9,-1504.7000000000005,320,27.78736843039381,0,0,0,0,0,0.028570519760251045,0,26.17280912218672
10,-1111.0,319,22.737225020968445,0,0,0,0,0,-0.13778796792030334,0,20.51682505942881
11,-1044.1,308,20.73798533554093,0,0,0,0,0,0.018491551280021667,0,18.810244984058446
12,-2451.599999999999,267,33.350518178479,0,0,0,0,0,-0.2449801117181778,0,26.479776059136245
13,-857.1000000000001,357,28.807099412243318,0,0,0,0,0,-0.4499056339263916,0,28.37834355811919
14,-870.8000000000002,341,26.787260364622217,0,0,0,0,0,0.07527677714824677,0,25.716928629712626
15,-1426.8000000000006,306,23.361213826373245,0,0,0,0,0,-0.10506889969110489,0,22.469062813018496
16,-2191.0000000000005,313,28.330813645769037,0,0,0,0,0,-0.22364874184131622,0,24.85734096783049
17,-876.8999999999999,307,29.101320895936396,0,0,0,0,0,-0.12067926675081253,0,31.312266401946545
18,-1884.7000000000003,306,35.22929072071595,0,0,0,0,0,-0.20502117276191711,0,30.94016931951046
19,-1811.6000000000001,339,31.90923134071343,0,0,0,0,0,-0.1292494684457779,0,33.365831275781
20,-210.79999999999978,336,25.698468175952097,0,0,0,0,0,-0.287348210811615,0,31.394009292125702
21,-444.20000000000005,355,24.736611624545986,0,0,0,0,0,-0.5929194092750549,0,26.411642274170212
22,-1096.9999999999998,357,33.082204763476405,0,0,0,0,0,-0.45879459381103516,0,35.54024488925934
23,-523.1000000000001,339,22.857921379893284,0,0,0,0,0,-0.08180513978004456,0,27.02948317397386
24,-578.3999999999999,345,25.850128619586492,0,0,0,0,0,-0.46376675367355347,0,30.551117268101923
25,-1224.4,318,26.624099417611394,0,0,0,0,0,-0.02334880828857422,0,25.29808385845493
26,-921.1999999999998,331,27.029522867302024,0,0,0,0,0,-0.5032117366790771,0,25.003040509627144
27,-993.6000000000001,337,26.74121559291465,0,0,0,0,0,-0.4764289855957031,0,31.796136051416397
28,-716.8000000000002,375,28.191072144980044,0,0,0,0,0,-0.6631448864936829,0,29.05203240116437
29,100.2999999999999,348,23.44069338179487,0,0,0,0,0,0.13840579986572266,0,26.310103305361487
30,-987.0,357,28.611796286486463,0,0,0,0,0,0.11340109258890152,0,28.412713271475607
31,-148.80000000000018,352,25.148293569044064,0,0,0,0,0,-0.2109205424785614,0,29.654285872975986
32,-485.6,339,25.742251582085412,0,0,0,0,0,-0.7128777503967285,0,31.509016640484333
33,321.7999999999997,367,25.196087524553867,0,0,0,0,0,-0.3211697041988373,0,29.158961097399395
34,-721.6,335,28.346555707962604,0,0,0,0,0,-0.5745545029640198,0,31.088980995118618
35,-477.4,329,25.358359803932164,0,0,0,0,0,-0.0803498849272728,0,31.777167543768883
36,-517.8000000000001,334,25.170638157358013,0,0,0,0,0,-0.2919316291809082,0,31.58460419625044
37,-617.8000000000004,325,26.836366057436248,0,0,0,0,0,-0.6630169749259949,0,31.00897327065468
38,-859.7000000000003,339,31.5750540839415,0,0,0,0,0,-0.170769602060318,0,30.415678306900222
39,-738.1000000000003,342,25.889785664091818,0,0,0,0,0,-0.1914302259683609,0,24.88937178517089
40,2.5000000000001137,352,24.0685249489698,0,0,0,0,0,0.04215938225388527,0,26.30889377359188
41,-724.7000000000003,336,26.110691474035225,0,0,0,0,0,-0.2652997076511383,0,25.553047376520492
42,-1919.9999999999998,347,26.48807303294154,0,0,0,0,0,0.05868181213736534,0,23.625736254163915
43,-1203.2,357,27.6649165505839,0,0,0,0,0,-0.07874986529350281,0,26.359602443196557
44,-616.4000000000001,379,26.83757865778632,0,0,0,0,0,-0.5751190185546875,0,26.405632103031333
45,-208.70000000000022,340,20.963351966677468,0,0,0,0,0,-0.31166788935661316,0,20.24057289585471
46,-1030.6,312,26.94343701865389,0,0,0,0,0,-0.07214481383562088,0,24.992627735961886
47,-784.1000000000001,352,25.414955095662418,0,0,0,0,0,0.06610248982906342,0,24.431001633405685
48,-1231.0999999999997,354,27.103080674103868,0,0,0,0,0,-0.22069020569324493,0,23.973980986823637
49,-1236.3000000000002,354,24.914365073504985,0,0,0,0,0,-0.18086762726306915,0,22.530255107895325
50,-1133.0999999999997,361,26.61787612322013,0,0,0,0,0,-0.38262948393821716,0,24.65117657184601
51,-1377.9000000000003,344,19.276508886281743,0,0,0,0,0,-0.2504866421222687,0,16.957209048171837
52,-916.4999999999999,355,22.648648276955548,0,0,0,0,0,-0.4899839758872986,0,20.10844192157189
53,-567.8999999999997,356,23.65991552743797,0,0,0,0,0,-0.6324588656425476,0,22.530205836029428
